# time C ID fromHost toHost size ttl
6137.1000 C floating285-6137-62  w62 V0 2542 2147483647
6154.9000 C floating286-6155-101  p101 V0 38737 2147483647
6193.9000 C floating287-6194-14  c14 V0 8477 2147483647
6224.7000 C floating288-6225-58  w58 V0 25757 2147483647
6251.0000 C floating289-6251-44  w44 V0 19464 2147483647
6263.3000 C floating290-6263-24  c24 V0 16923 2147483647
6286.4000 C floating291-6286-70  w70 V0 10244 2147483647
6298.0000 C floating292-6298-40  c40 V0 26577 2147483647
6331.0000 C floating293-6331-105  p105 V0 10546 2147483647
6333.6000 C floating294-6334-66  w66 V0 19340 2147483647
6337.6000 C floating295-6338-28  c28 V0 22452 2147483647
6343.0000 C floating296-6343-87  p87 V0 3511 2147483647
6412.4000 C floating297-6412-97  p97 V0 17027 2147483647
6430.5000 C floating298-6431-83  t83 V0 48623 2147483647
6441.5000 C floating299-6442-7  c7 V0 37264 2147483647
6449.2000 C floating300-6449-119  p119 V0 47995 2147483647
6472.6000 C floating301-6473-1  c1 V0 10087 2147483647
6510.4000 C floating302-6510-111  p111 V0 48543 2147483647
6516.0000 C floating303-6516-77  w77 V0 11384 2147483647
6551.4000 C floating304-6551-103  p103 V0 3712 2147483647
6557.5000 C floating305-6558-107  p107 V0 32138 2147483647
6564.1000 C floating306-6564-30  c30 V0 3525 2147483647
6598.4000 C floating307-6598-99  p99 V0 10352 2147483647
6616.2000 C floating308-6616-86  t86 V0 46493 2147483647
6656.9000 C floating309-6657-85  t85 V0 46630 2147483647
6659.8000 C floating310-6660-26  c26 V0 38610 2147483647
6660.2000 C floating311-6660-25  c25 V0 41947 2147483647
6677.9000 C floating312-6678-12  c12 V0 10795 2147483647
6695.3000 C floating313-6695-52  w52 V0 9804 2147483647
6695.6000 C floating314-6696-51  w51 V0 28619 2147483647
6706.7000 C floating315-6707-115  p115 V0 43747 2147483647
6724.9000 C floating316-6725-8  c8 V0 39974 2147483647
6730.7000 C floating317-6731-78  w78 V0 25162 2147483647
6734.4000 C floating318-6734-29  c29 V0 22228 2147483647
6751.9000 C floating319-6752-69  w69 V0 49791 2147483647
6769.9000 C floating320-6770-55  w55 V0 9246 2147483647
6813.1000 C floating321-6813-100  p100 V0 29810 2147483647
6873.9000 C floating322-6874-81  t81 V0 44295 2147483647
6933.1000 C floating323-6933-117  p117 V0 33581 2147483647
6978.3000 C floating324-6978-71  w71 V0 1568 2147483647
6980.6000 C floating325-6981-124  p124 V0 42587 2147483647
7025.3000 C floating326-7025-67  w67 V0 33332 2147483647
7035.1000 C floating327-7035-23  c23 V0 40922 2147483647
7039.6000 C floating328-7040-102  p102 V0 30781 2147483647
7060.3000 C floating329-7060-94  p94 V0 27656 2147483647
7060.7000 C floating330-7061-93  p93 V0 8657 2147483647
7081.8000 C floating331-7082-20  c20 V0 14641 2147483647
7117.1000 C floating332-7117-46  w46 V0 37044 2147483647
7134.0000 C floating333-7134-42  w42 V0 45518 2147483647
7147.7000 C floating334-7148-90  p90 V0 6202 2147483647
7156.8000 C floating335-7157-36  c36 V0 14744 2147483647
7169.2000 C floating336-7169-16  c16 V0 6442 2147483647
7178.7000 C floating337-7179-37  c37 V0 1151 2147483647
7215.6000 C floating338-7216-106  p106 V0 3609 2147483647
7225.7000 C floating339-7226-33  c33 V0 21479 2147483647
7239.9000 C floating340-7240-68  w68 V0 19315 2147483647
7292.5000 C floating341-7293-19  c19 V0 19558 2147483647
7308.2000 C floating342-7308-22  c22 V0 43482 2147483647
7318.1000 C floating343-7318-89  p89 V0 15748 2147483647
7357.3000 C floating344-7357-2  c2 V0 10102 2147483647
7402.4000 C floating345-7402-118  p118 V0 11691 2147483647
7404.2000 C floating346-7404-35  c35 V0 34543 2147483647
7457.1000 C floating347-7457-95  p95 V0 9765 2147483647
7497.4000 C floating348-7497-64  w64 V0 43363 2147483647
7543.7000 C floating349-7544-79  w79 V0 12799 2147483647
7565.6000 C floating350-7566-18  c18 V0 25872 2147483647
7566.0000 C floating351-7566-17  c17 V0 26265 2147483647
7568.5000 C floating352-7569-34  c34 V0 47068 2147483647
7583.8000 C floating353-7584-4  c4 V0 39956 2147483647
7586.8000 C floating354-7587-9  c9 V0 23351 2147483647
7594.5000 C floating355-7595-121  p121 V0 37515 2147483647
7605.6000 C floating356-7606-5  c5 V0 21777 2147483647
7610.1000 C floating357-7610-84  t84 V0 15584 2147483647
7648.8000 C floating358-7649-50  w50 V0 38110 2147483647
7657.5000 C floating359-7658-61  w61 V0 4087 2147483647
7659.9000 C floating360-7660-114  p114 V0 1185 2147483647
7670.0000 C floating361-7670-41  w41 V0 17572 2147483647
7689.6000 C floating362-7690-80  w80 V0 48198 2147483647
7720.6000 C floating363-7721-108  p108 V0 18697 2147483647
7745.0000 C floating364-7745-57  w57 V0 49609 2147483647
7801.5000 C floating365-7802-10  c10 V0 25886 2147483647
7809.0000 C floating366-7809-47  w47 V0 42160 2147483647
7884.0000 C floating367-7884-63  w63 V0 42684 2147483647
7886.3000 C floating368-7886-116  p116 V0 47592 2147483647
7924.4000 C floating369-7924-32  c32 V0 44801 2147483647
7965.3000 C floating370-7965-72  w72 V0 10751 2147483647
7967.6000 C floating371-7968-76  w76 V0 45495 2147483647
8013.9000 C floating372-8014-92  p92 V0 36869 2147483647
8066.4000 C floating373-8066-43  w43 V0 33826 2147483647
8085.1000 C floating374-8085-0  V0 V0 18662 2147483647
8089.2000 C floating375-8089-38  c38 V0 39064 2147483647
8127.7000 C floating376-8128-74  w74 V0 14825 2147483647
8216.2000 C floating377-8216-54  w54 V0 9940 2147483647
8235.9000 C floating378-8236-15  c15 V0 45116 2147483647
8241.7000 C floating379-8242-75  w75 V0 22170 2147483647
8254.8000 C floating380-8255-123  p123 V0 41213 2147483647
8269.2000 C floating381-8269-53  w53 V0 42149 2147483647
8271.3000 C floating382-8271-88  p88 V0 17814 2147483647
8273.1000 C floating383-8273-59  w59 V0 15522 2147483647
8282.7000 C floating384-8283-65  w65 V0 3181 2147483647
8292.8000 C floating385-8293-45  w45 V0 23063 2147483647
8311.0000 C floating386-8311-31  c31 V0 3595 2147483647
8352.7000 C floating387-8353-104  p104 V0 29653 2147483647
8367.0000 C floating388-8367-3  c3 V0 2620 2147483647
8378.8000 C floating389-8379-13  c13 V0 10835 2147483647
8420.5000 C floating390-8421-96  p96 V0 35158 2147483647
8440.9000 C floating391-8441-48  w48 V0 4231 2147483647
8476.5000 C floating392-8477-70  w70 V0 11215 2147483647
8489.2000 C floating393-8489-49  w49 V0 17783 2147483647
8493.3000 C floating394-8493-11  c11 V0 3050 2147483647
8500.2000 C floating395-8500-113  p113 V0 36713 2147483647
8516.6000 C floating396-8517-126  p126 V0 23847 2147483647
8547.7000 C floating397-8548-120  p120 V0 49035 2147483647
8564.6000 C floating398-8565-14  c14 V0 37974 2147483647
8581.1000 C floating399-8581-112  p112 V0 24738 2147483647
8592.9000 C floating400-8593-122  p122 V0 41383 2147483647
8647.0000 C floating401-8647-98  p98 V0 43929 2147483647
8648.1000 C floating402-8648-125  p125 V0 40821 2147483647
8648.6000 C floating403-8649-82  t82 V0 16744 2147483647
8664.0000 C floating404-8664-58  w58 V0 29270 2147483647
8670.0000 C floating405-8670-97  p97 V0 28857 2147483647
8672.2000 C floating406-8672-101  p101 V0 35018 2147483647
8679.4000 C floating407-8679-110  p110 V0 43343 2147483647
8685.8000 C floating408-8686-60  w60 V0 9720 2147483647
8691.3000 C floating409-8691-119  p119 V0 41657 2147483647
8698.2000 C floating410-8698-56  w56 V0 5834 2147483647
8713.2000 C floating411-8713-91  p91 V0 20082 2147483647
8744.6000 C floating412-8745-30  c30 V0 30341 2147483647
8797.5000 C floating413-8798-29  c29 V0 11859 2147483647
8809.3000 C floating414-8809-39  c39 V0 29808 2147483647
8814.0000 C floating415-8814-109  p109 V0 34022 2147483647
8875.1000 C floating416-8875-40  c40 V0 19135 2147483647
8898.5000 C floating417-8899-105  p105 V0 19529 2147483647
8961.6000 C floating418-8962-52  w52 V0 14428 2147483647
8969.1000 C floating419-8969-24  c24 V0 30190 2147483647
9008.5000 C floating420-9009-12  c12 V0 1103 2147483647
9020.5000 C floating421-9021-21  c21 V0 17831 2147483647
9051.9000 C floating422-9052-6  c6 V0 5112 2147483647
9063.2000 C floating423-9063-99  p99 V0 12764 2147483647
9106.5000 C floating424-9107-93  p93 V0 5351 2147483647
9131.8000 C floating425-9132-62  w62 V0 38122 2147483647
9135.2000 C floating426-9135-117  p117 V0 5095 2147483647
9145.5000 C floating427-9146-73  w73 V0 39816 2147483647
9147.7000 C floating428-9148-83  t83 V0 25879 2147483647
9153.4000 C floating429-9153-77  w77 V0 43185 2147483647
9188.7000 C floating430-9189-27  c27 V0 33838 2147483647
9196.7000 C floating431-9197-71  w71 V0 27545 2147483647
9228.2000 C floating432-9228-55  w55 V0 23677 2147483647
9270.9000 C floating433-9271-1  c1 V0 6395 2147483647
9302.0000 C floating434-9302-100  p100 V0 37478 2147483647
9305.9000 C floating435-9306-66  w66 V0 38721 2147483647
